re78,is_treat,age,educ,black,hisp,married,nodegr,re74,re75
25600,no,45,11,no,no,yes,yes,21500,25200
13500,no,21,14,no,no,no,no,3180,5850
25600,no,38,12,no,no,yes,no,23000,25100
25600,no,48,6,no,no,yes,yes,25000,25200
9860,no,18,8,no,no,yes,yes,1670,10700
25600,no,22,11,no,no,yes,yes,16400,18400
18100,no,48,10,no,no,yes,yes,16800,16400
15700,no,18,11,no,no,no,yes,1140,3620
25600,no,48,9,no,no,yes,yes,25900,25200
3920,no,45,12,no,no,yes,no,25900,0
25600,no,34,14,no,no,yes,no,25900,23700
6850,no,16,10,no,no,no,yes,1030,1220
25600,no,53,10,no,no,yes,yes,25900,25200
8780,no,19,12,no,no,no,no,868,4390
19200,no,27,12,no,no,yes,no,25900,19000
9180,no,32,10,no,no,yes,yes,20400,23400
25600,no,27,12,no,no,yes,no,21000,14800
0,no,46,7,no,no,yes,yes,19200,1320
23900,no,24,13,no,no,no,no,20800,25200
6560,no,22,13,no,no,no,no,11000,10400
0,no,49,10,no,no,yes,yes,392,0
4760,no,17,10,no,no,no,yes,0,0
20900,no,29,14,no,no,yes,no,21500,22600
10300,no,28,16,no,no,yes,no,16500,0
19300,no,46,12,no,no,yes,no,24800,25000
4750,no,26,17,yes,no,yes,no,0,0
25600,no,49,12,no,no,no,no,25900,25200
25600,no,51,10,no,no,yes,yes,25900,25200
10300,no,51,10,no,no,yes,yes,22900,21700
18500,no,27,11,no,no,yes,yes,17000,18100
0,no,23,13,no,no,no,no,19100,21000
13100,no,27,10,no,no,yes,yes,7950,9760
25600,no,38,10,no,no,yes,yes,25900,25200
8410,no,32,8,no,no,no,yes,7190,6150
25600,no,34,14,no,no,yes,no,25900,25200
25600,no,26,18,no,no,yes,no,21000,21900
6750,no,21,13,no,no,no,no,8640,8180
16500,no,39,8,no,yes,no,yes,13500,16400
0,no,17,8,yes,no,no,yes,0,451
14400,no,22,11,no,yes,yes,yes,17500,17800
0,no,21,12,no,yes,no,no,0,0
12600,no,44,9,no,yes,yes,yes,15400,14900
13500,no,26,10,no,yes,yes,yes,17100,17400
13700,no,54,4,no,yes,yes,yes,13400,13200
19900,no,42,12,no,yes,yes,no,21700,22000
6170,no,25,12,no,no,no,no,8110,11900
0,no,20,13,no,no,no,no,317,215
25600,no,44,11,no,no,yes,yes,25900,25200
