re78,is_treat,age,educ,black,hisp,married,nodegr,re74,re75
9930,yes,37,11,yes,no,yes,yes,0,0
3600,yes,22,9,no,yes,no,yes,0,0
24900,yes,30,12,yes,no,no,no,0,0
7510,yes,27,11,yes,no,no,yes,0,0
290,yes,33,8,yes,no,no,yes,0,0
4060,yes,22,9,yes,no,no,yes,0,0
0,yes,23,12,yes,no,no,no,0,0
8470,yes,32,11,yes,no,no,yes,0,0
2160,yes,22,16,yes,no,no,no,0,0
12400,yes,33,12,no,no,yes,no,0,0
8170,yes,19,9,yes,no,no,yes,0,0
17100,yes,21,13,yes,no,no,no,0,0
0,yes,18,8,yes,no,no,yes,0,0
18700,yes,27,10,yes,no,yes,yes,0,0
3020,yes,17,7,yes,no,no,yes,0,0
3230,yes,19,10,yes,no,no,yes,0,0
14600,yes,27,13,yes,no,no,no,0,0
7690,yes,23,10,yes,no,no,yes,0,0
10800,yes,40,12,yes,no,no,no,0,0
10700,yes,26,12,yes,no,no,no,0,0
0,yes,23,11,yes,no,no,yes,0,0
5150,yes,41,14,no,no,no,no,0,0
6410,yes,38,9,no,no,no,yes,0,0
1990,yes,24,11,yes,no,no,yes,0,0
11200,yes,18,10,yes,no,no,yes,0,0
9640,yes,29,11,yes,no,yes,yes,0,0
9900,yes,25,11,yes,no,no,yes,0,0
11100,yes,27,10,no,yes,no,yes,0,0
16200,yes,17,10,yes,no,no,yes,0,0
996,yes,24,11,yes,no,no,yes,0,0
0,yes,17,10,yes,no,no,yes,0,0
6550,yes,48,4,yes,no,no,yes,0,0
1570,yes,25,11,yes,no,yes,yes,0,0
0,yes,20,12,yes,no,no,no,0,0
3190,yes,25,12,yes,no,no,no,0,0
20500,yes,42,14,yes,no,no,no,0,0
6180,yes,25,5,yes,no,no,yes,0,0
5910,yes,23,12,yes,no,yes,no,0,0
3090,yes,46,8,yes,no,yes,yes,0,0
0,yes,24,10,yes,no,no,yes,0,0
1250,yes,21,12,yes,no,no,no,0,0
13200,yes,19,9,no,no,no,yes,0,0
8060,yes,17,8,yes,no,no,yes,0,0
2790,yes,18,8,no,yes,yes,yes,0,0
3970,yes,20,11,yes,no,no,yes,0,0
0,yes,25,11,yes,no,yes,yes,0,0
0,yes,17,8,yes,no,no,yes,0,0
0,yes,17,9,yes,no,no,yes,0,0
12200,yes,25,5,yes,no,no,yes,0,0
4840,yes,23,12,yes,no,no,no,0,0
0,yes,28,8,yes,no,no,yes,0,0
8090,yes,31,11,yes,no,yes,yes,0,0
0,yes,18,11,yes,no,no,yes,0,0
2350,yes,25,12,yes,no,no,no,0,0
591,yes,30,11,yes,no,yes,yes,0,0
0,yes,17,10,yes,no,no,yes,0,0
1070,yes,37,9,yes,no,no,yes,0,0
7280,yes,41,4,yes,no,yes,yes,0,0
13200,yes,42,14,yes,no,yes,no,0,0
1050,yes,22,11,no,no,no,yes,0,0
0,yes,17,8,yes,no,no,yes,0,0
1920,yes,29,8,yes,no,no,yes,0,0
4670,yes,35,10,yes,no,no,yes,0,0
549,yes,27,11,yes,no,no,yes,0,0
763,yes,29,4,yes,no,no,yes,0,0
10700,yes,28,9,yes,no,no,yes,0,0
0,yes,27,11,yes,no,no,yes,0,0
0,yes,23,7,no,no,no,yes,0,0
8550,yes,45,5,yes,no,yes,yes,0,0
7480,yes,29,13,yes,no,no,no,0,0
0,yes,27,9,yes,no,no,yes,0,0
647,yes,46,13,yes,no,no,no,0,0
0,yes,18,6,yes,no,no,yes,0,0
12000,yes,25,12,yes,no,no,no,0,0
